Molecule,SMILES,Rotors,Conformers,ElapsedTime(s),Status
"MOL0031",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CC[C@H](C4)c5ccc(cc5F)F,7,200,0.10
"MOL0032",CCn1c2cc(c(cc2nc1OC)C(=O)N3CC[C@H](C3)O)C(=O)N4CCn5cc(c(c5C4)F)F,6,200,0.07
"MOL0033",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)N4CCC(CC4)(C(=O)c5c[nH]c6c5cc(cc6)F)F,7,200,0.13
"MOL0034",COc1c(cc2c(=O)c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C[N@@]4CC[C@@H](C4)c5ccc(cc5F)F,6,200,0.09
"MOL0035",COc1c(cc(cn1)c2cc3c(cc2F)c(c[nH]3)C(=O)C(=O)N4CC[C@H](C4)F)[N@@]5CCn6c(cnc6O)C5,6,200,0.13
"MOL0036",COc1c(cc2c(c[nH]c2n1)[C@@H](C(=O)N3CCn4cc(cc4C3)Br)O)C(=O)N5CC[C@H](C5)C(=O)c6ccc(cc6)F,8,200,0.19
"MOL0037",C[C@@H]1c2cnc(n2CCN1C(=O)c3cc4c(c[nH]c4nc3OC)C(=O)N5CC[C@H](C5)O)F,5,99,0.29
"MOL0038",C[C@@H]1c2nc(cn2CCN1C(=O)c3cc4c(c[nH]c4nc3OC)C(=O)N5CC[C@H](C5)O)c6ccc(cc6F)F,6,200,0.09
"MOL0039",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)Cn4cc(cn4)c5ccc(cc5F)F,7,200,0.10
"MOL0040",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)OC[C@H]4CCN(C4)c5ccc(cc5F)F,8,200,0.19
"MOL0041",COc1nc2cc(c(cn2n1)C(=O)N3CC[C@H](C3)O)C(=O)c4cc[nH]c4,5,200,0.06
"MOL0042",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCc5c(cnn5c6ccc(cc6F)F)C4,7,200,0.09
"MOL0043",COc1cc2c(cc1C(=O)N3CCn4c(cnc4F)C3)c(c[nH]2)C(=O)N5CC[C@H](C5)O,5,200,0.06
"MOL0044",COc1c(cc(cn1)c2cc[nH]n2)C(=O)C(=O)N3CCn4c(cnc4[C@@H]3CO)c5ccc(c(c5)F)F,7,200,0.13
"MOL0045",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)N4CC[C@@H](C4)c5ccc(cc5)F,6,200,0.07
"MOL0046",COc1c(cc(cn1)c2cnn3c2ccc(c3)O)C(=O)N4CC[C@@H]4C(=O)N5CC[C@H](C5)F,6,200,0.08
"MOL0047",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)C(=O)N4CCn5c(cnc5c6ccc(cc6F)F)C4,7,200,0.12
"MOL0048",COc1[nH]c(cn1)C(=O)N2CCn3c(cc(c3C(=O)C(=O)N4CC[C@H](C4)O)c5c(nc(cn5)c6ccc(cc6F)F)F)C2,8,200,0.22
"MOL0049",COc1c(cc2c(=O)c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)N4CCC(CC4)c5c(c(cc(n5)F)F)Cl,6,200,0.08
"MOL0050",CO[C@H]1[C@H](CN(C1=O)C(=O)c2c3cnc(cn3c(n2)C(=O)C(=O)N4CC[C@H](C4)O)c5ccc(cc5)F)Cl,7,200,0.32
"MOL0051",COc1c(cc(cn1)C(=O)N2CC[C@H](C2)O)C(=O)N3CCn4c(nc(c4F)c5ccccc5)C3,6,200,0.08
"MOL0052",COc1c(cc(cn1)/C(=C/C(=O)N2CC[C@H](C2)O)/O)C(=O)N3CCn4c(cnc4c5ccc(cc5F)F)C3,7,200,0.19
"MOL0053",CO[C@@H]1[C@@H](CCN1C(=O)c2cc3c(c[nH]c3c(n2)c4ccncc4F)C(=O)N5CCC(C5)(F)F)O,6,200,0.24
"MOL0054",COc1c2c(c(cn1)C(=O)N3CC[C@H](C3)O)nc([nH]2)C(=O)C(=O)N4CCn5c(cc(c5F)F)C4,6,200,0.08
"MOL0055",COc1ncc(c(n1)C(=O)c2ccc(cc2)F)c3cc4cc(cnc4n3CCF)C(=O)N5CC[C@H](C5)O,8,200,0.11
"MOL0056",COc1c2cc(c(=O)n(c2ccn1)C(=O)c3cc(c[nH]3)c4ccc(cc4)F)C(=O)N5CC[C@H](C5)O,6,200,0.28
"MOL0057",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)C(=O)N4CCn5c(cnc5c6ccc(cc6)F)C4,7,200,0.11
"MOL0058",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)c4cnc5n4C[C@H](C5)F,5,200,0.09
"MOL0059",COc1cnc(c2c1cc(c(c2)C(=O)N3CCn4c(cnc4c5ccc(cc5F)F)C3)C(=O)C(=O)N6CC[C@H](C6)O)OC,8,200,0.12
"MOL0060",COc1c(c2c(cc([nH]2)C(=O)n3ccc(c3)F)cn1)C(=O)N4CC[C@H](C4)O,5,195,0.05
"MOL0061",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)N4CCN(CC4)C(=O)c5cc(cnc5F)F,6,200,0.11
"MOL0062",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)C(=O)C[N@]4CCn5c(cnc5c6ccc(cc6F)F)C4,7,200,0.12
"MOL0063",COc1c(cc(cn1)C(=O)c2c[nH]c3c2cccc3)C(=O)N4CCn5c(cnc5c6ccc(cc6F)F)C4,6,200,0.08
"MOL0064",COc1nc2cc(c(cc2n1CC(=O)c3ccc(cc3F)F)C(=O)N4CC[C@@H](C4)F)C(=O)N5CC[C@H](C5)O,8,200,0.14
"MOL0065",COc1c2c(cc(c(n2)c3ccc(cc3F)F)C(=O)N4CCC4)c(cn1)C(=O)C(=O)N5CC[C@H](C5)O,7,200,0.08
"MOL0066",COc1c(cc2c(n1)cc([nH]2)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCN(CC4)c5ccc(cc5F)F,7,200,0.14
"MOL0067",COc1c2c(cc([nH]2)C(=O)C(=O)N3CCn4c(cnc4c5ccc(cc5F)F)C3)c(cn1)C(=O)N6CC[C@H](C6)O,7,200,0.13
"MOL0068",CN(C)[C@@H]1CCN(C1)C(=O)c2cc3cnc(c(c3[nH]2)C(=O)C(=O)N4CCn5c(cnc5F)C4)OC,7,200,0.09
"MOL0069",COc1ncc(c2c1[nH]c(c2)c3c(cc(cc3)F)F)C(=O)[N-][C@H]4C[C@@H](C4)O,5,200,0.09
"MOL0070",COc1c(cc2c(c[nH]c2n1)C(=O)N3C[C@H](C[N@]3CC=O)O)C(=O)N4CCn5c(cnc5c6ccc(cc6)F)C4,8,200,0.37
"MOL0071",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCn5c(cnc5F)C4,6,200,0.07
"MOL0072",COc1ncc(cc1C(=O)N2Cc3n(c(nc3)c4c(cc(cc4)F)F)CC2)C(=O)[C@H]5C[C@H](C5)O,6,200,0.13
"MOL0073",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)C(=O)N4CCc5c(cnn5c6ccc(cc6)F)C4,7,200,0.09
